Familia profesional,Código QP,Nombre cualificación,Nivel,Básico/Medio/Superior,Ciclo Formativo
Comercio y Marketing,COM088_3,Tráfico de mercancías por carretera,3,Ciclo Grado Superior,Técnico Superior en Transporte y Logística
Comercio y Marketing,COM158_3,Implantación y animación de espacios comerciales,3,Ciclo Grado Superior,Técnico Superior en Gestión de Ventas y Espacios Comerciales
Comercio y Marketing,COM312_3,Asistencia a la investigación de mercados,3,Ciclo Grado Superior,Técnico Superior en Marketing y Publicidad
Comercio y Marketing,COM314_3,Gestión comercial de ventas,3,Ciclo Grado Superior,Técnico Superior en Gestión de Ventas y Espacios Comerciales
Comercio y Marketing,COM315_3,Gestión y control del aprovisionamiento,3,Ciclo Grado Superior,"Técnico Superior en Gestión de Ventas y Espacios Comerciales
Técnico Superior en Transporte y Logística"
Comercio y Marketing,COM316_3,Marketing y compraventa internacional,3,Ciclo Grado Superior,Técnico  Superior en Comercio Internacional
Comercio y Marketing,COM318_3,Organización y gestión de almacenes,3,Ciclo Grado Superior,"Técnico  Superior en Comercio Internacional
Técnico Superior en Gestión de Ventas y Espacios Comerciales
Técnico Superior en Transporte y Logística"
Comercio y Marketing,COM651_3,Gestión comercial y financiera del transporte por carretera,3,Ciclo Grado Superior,"Técnico Superior en Transporte y Logística
Técnico Superior en Comercio Internacional
Técnico Superior en Gestión de Ventas y Espacios Comerciales
Técnico SUperior en Marketing y Publicidad"
Comercio y Marketing,COM652_3,Gestión de marketing y comunicación,3,Ciclo Grado Superior,Técnico Superior en Marketing y Publicidad
Comercio y Marketing,COM707_3,Dinamización de redes sociales y estrategia de contenidos digitales,3,Curso de Especialización,Redacción de contenidos digitales para marketing y ventas
Edificación y Obra Civil,EOC271_1,Operaciones auxiliares de albañilería de fábricas y cubiertas,1,Ciclo Grado Básico,Técnico Básico en Reforma y Mantenimiento de Edificios
Edificación y Obra Civil,EOC272_1,Operaciones auxiliares de revestimientos continuos en construcción,1,Ciclo Grado Básico,Técnico Básico en Reforma y Mantenimiento de Edificios
Edificación y Obra Civil,EOC578_1,Operaciones básicas de revestimientos ligeros y técnicos en construcción,1,Ciclo Grado Básico,Técnico Básico en Reforma y Mantenimiento de Edificios
Edificación y Obra Civil,EOC052_2,Fábricas de albañilería,2,Ciclo Grado Medio,Técnico en Construcción
Edificación y Obra Civil,EOC580_2,Cubiertas inclinadas,2,Ciclo Grado Medio,Técnico en Construcción
Edificación y Obra Civil,EOC582_2,Impermeabilización mediante membranas formadas con láminas,2,Ciclo Grado Medio,Técnico en Construcción
Edificación y Obra Civil,EOC583_2,Instalación de placa de yeso laminado y falsos techos,2,Ciclo Grado Medio,"Técnico en Obras de Interior, Decoración y Rehabilitación"
Edificación y Obra Civil,EOC584_2,"Instalación de sistemas técnicos de pavimentos, empanelados y mamparas",2,Ciclo Grado Medio,"Técnico en Obras de Interior, Decoración y Rehabilitación"
Edificación y Obra Civil,EOC586_2,Pavimentos y albañilería de urbanización,2,Ciclo Grado Medio,"Técnico en Redes y Estaciones de Tratamiento de Aguas
Técnico en Construcción"
Edificación y Obra Civil,EOC587_2,Pintura decorativa en construcción,2,Ciclo Grado Medio,"Técnico en Obras de Interior, Decoración y Rehabilitación"
Edificación y Obra Civil,EOC201_3,Representación de proyectos de edificación,3,Ciclo Grado Superior,Técnico Superior en Proyectos de Edificación
Edificación y Obra Civil,EOC202_3,Representación de proyectos de obra civil,3,Ciclo Grado Superior,Técnico Superior en Proyectos de Obra Civil
Edificación y Obra Civil,EOC273_3,Control de proyectos y obras de construcción,3,Ciclo Grado Superior,"Técnico Superior en Organización y Control de Obras de Construcción
Técnico Superior en Proyectos de Edificación
Técnico Superior en Proyectos de Obra Civil"
Edificación y Obra Civil,EOC274_3,Levantamientos y replanteos,3,Ciclo Grado Superior,"Técnico Superior en Organización y Control de Obras de Construcción
Técnico Superior en Proyectos de Obra Civil
Técnico Superior en Proyectos de Edificación"
Edificación y Obra Civil,EOC641_3,Control de ejecución de obras civiles,3,Ciclo Grado Superior,Técnico Superior en Organización y Control de Obras de Construcción
Edificación y Obra Civil,EOC642_3,Control de ejecución de obras de edificación,3,Ciclo Grado Superior,Técnico Superior en Organización y Control de Obras de Construcción
Electricidad y Electrónica,ELE255_1,Operaciones auxiliares de montaje de instalaciones electrotécnicas y de telecomunicaciones en edificios,1,Ciclo Grado Básico,"Técnico Básico en Electricidad y Electrónica
Técnico Básico en Instalaciones Electrotécnicas y Mecánica"
Electricidad y Electrónica,ELE481_1,Operaciones auxiliares de montaje y mantenimiento de equipos eléctricos y electrónicos,1,Ciclo Grado Básico,"Técnico Básico en Electricidad y Electrónica
Técnico Básico en Informática y Comunicaciones"
Electricidad y Electrónica,ELE043_2,Montaje y mantenimiento de infraestructuras de telecomunicaciones en edificios,2,Ciclo Grado Medio,"Técnico en Instalaciones de Telecomunicaciones
Técnico en Instalaciones Eléctricas y Automáticas"
Electricidad y Electrónica,ELE188_2,"Montaje y mantenimiento de instalaciones de megafonía, sonorización de locales y circuito cerrado de televisión",2,Ciclo Grado Medio,Técnico en Instalaciones de Telecomunicaciones
Electricidad y Electrónica,ELE189_2,Montaje y mantenimiento de sistemas de telefonía e infraestructuras de redes locales de datos,2,Ciclo Grado Medio,Técnico en Instalaciones de Telecomunicaciones
Electricidad y Electrónica,ELE257_2,Montaje y mantenimiento de instalaciones eléctricas de baja tensión,2,Ciclo Grado Medio,Técnico en Instalaciones Eléctricas y Automáticas
Electricidad y Electrónica,ELE599_2,Montaje y mantenimiento de sistemas de automatización industrial,2,Ciclo Grado Medio,Técnico en Mantenimiento Electromecánico
Electricidad y Electrónica,ELE258_3,Desarrollo de proyectos de infraestructuras de telecomunicaciones y otras redes de voz y datos en edificaciones,3,Ciclo Grado Superior,Técnico Superior en Sistemas de Telecomunicaciones e Informáticos
Electricidad y Electrónica,ELE259_3,Desarrollo de proyectos de instalaciones eléctricas en el entorno de edificios y con fines especiales,3,Ciclo Grado Superior,Técnico Superior en Sistemas electrotécnicos y automatizados
Electricidad y Electrónica,ELE260_3,Desarrollo de proyectos de redes eléctricas de baja y alta tensión,3,Ciclo Grado Superior,Técnico Superior en Sistemas electrotécnicos y automatizados
Electricidad y Electrónica,ELE381_3,Gestión y supervisión de la instalación y mantenimiento de sistemas de electromedicina,3,Ciclo Grado Superior,Técnico Superior en Electromedicina Clínica
Electricidad y Electrónica,ELE382_3,Gestión y supervisión del montaje y mantenimiento de instalaciones eléctricas en el entorno de edificios,3,Ciclo Grado Superior,Técnico Superior en Sistemas electrotécnicos y automatizados
Electricidad y Electrónica,ELE383_3,Gestión y supervisión del montaje y mantenimiento de las infraestructuras de telecomunicación y de redes de voz y datos en el entorno de edificios,3,Ciclo Grado Superior,Técnico Superior en Sistemas de Telecomunicaciones e Informáticos
Electricidad y Electrónica,ELE385_3,Gestión y supervisión del montaje y mantenimiento de  redes eléctricas de baja tensión y alumbrado exterior,3,Ciclo Grado Superior,Técnico Superior en Sistemas electrotécnicos y automatizados
Electricidad y Electrónica,ELE484_3,Desarrollo de proyectos de sistemas de automatización industrial,3,Ciclo Grado Superior,Técnico Superior en Automatización y Robótica Industrial
Electricidad y Electrónica,ELE485_3,Gestión y supervisión del montajey mantenimiento de equipamiento de red y estaciones base de telefonía,3,Ciclo Grado Superior,Técnico Superior en Mantenimiento Electrónico
Electricidad y Electrónica,ELE486_3,Gestión y supervisión del montaje y mantenimiento de sistemas de automatización industrial,3,Ciclo Grado Superior,Técnico Superior en Automatización y Robótica Industrial
Electricidad y Electrónica,ELE487_3,Gestión y supervisión del montaje y mantenimiento de  sistemas de producción audiovisual y de radiodifusión,3,Ciclo Grado Superior,Técnico Superior en Sistemas de Telecomunicaciones e Informáticos
Electricidad y Electrónica,ELE552_3,Mantenimiento de equipos electrónicos,3,Ciclo Grado Superior,Técnico Superior en Mantenimiento Electrónico
