Familia profesional,Código QP,Cualificación Profesional,Nivel,Código Certificado,Certificado Profesional,Código y certificado
Artes Gráficas,ARG151_2,Impresión digital,2,ARGI0209,Impresión digital,ARGI0209 Impresión digital
Artes Gráficas,ARG219_3,Diseño de productos gráficos,3,ARGG0110,Diseño de productos gráficos,ARGG0110 Diseño de productos gráficos
Artes Gráficas,ARG291_2,Tratamiento y maquetación de elementos gráficosen preimpresión,2,ARGP0110,Tratamiento y maquetación de elementos gráficos en preimpresión,ARGP0110 Tratamiento y maquetación de elementos gráficos en preimpresión
Artes Gráficas,ARG292_3,Asistencia a la edición,3,ARGN0210,Asistencia a la edición,ARGN0210 Asistencia a la edición
Artes Gráficas,ARG417_2,Impresión en flexografía,2,ARGI0110,Impresión en flexografía,ARGI0110 Impresión en flexografía
Artes Gráficas,ARG418_2,Impresión en huecograbado,2,ARGI0210,Impresión en huecograbado,ARGI0210 Impresión en huecograbado
Artes Gráficas,ARG419_2,Impresión en serigrafía y tampografía,2,ARGI0310,Impresión en serigrafía y tampografía,ARGI0310 Impresión en serigrafía y tampografía
Artes Gráficas,ARG513_3,Gestión de la producción en encuadernación industrial,3,ARGC0112,Gestión de la producción en encuadernación industrial,ARGC0112 Gestión de la producción en encuadernación industrial
Artes Gráficas,ARG514_3,Gestión de la producción en procesos de impresión,3,ARGI0112,Gestión de la producción en procesos de impresión,ARGI0112 Gestión de la producción en procesos de impresión
Artes Gráficas,ARG515_3,Gestión de la producción en procesos de preimpresión,3,ARGP0112,Gestión de la producción en procesos de preimpresión,ARGP0112 Gestión de la producción en procesos de preimpresión
Artes Gráficas,ARG516_3,"Gestión de la producción en transformados de papel, cartón y otros soportes gráficos",3,ARGT0112,"Gestión de la producción en transformados de papel, cartón y otros soportes gráficos","ARGT0112 Gestión de la producción en transformados de papel, cartón y otros soportes gráficos"
Comercio y Marketing,COM085_2,Actividades de venta,2,COMV0108,Actividades de venta,COMV0108 Actividades de venta
Comercio y Marketing,COM086_3,Gestión administrativa y financiera del comercio internacional,3,COMT0210,Gestión administrativa y financiera del comercio internacional,COMT0210 Gestión administrativa y financiera del comercio internacional
Comercio y Marketing,COM087_3,"Atención al cliente, consumidor o usuario",3,COMT0110,"Atención al cliente, consumidor o usuario","COMT0110 Atención al cliente, consumidor o usuario"
Comercio y Marketing,COM088_3,Tráfico de mercancías por carretera,3,COML0109,Tráfico de mercancías por carretera,COML0109 Tráfico de mercancías por carretera
Comercio y Marketing,COM158_3,Implantación y animación de espacios comerciales,3,COMP0108,Implantación y animación de espacios comerciales,COMP0108 Implantación y animación de espacios comerciales
Comercio y Marketing,COM312_3,Asistencia a la investigación de mercados,3,COMM0111,Asistencia a la investigación de mercados,COMM0111 Asistencia a la investigación de mercados
Comercio y Marketing,COM313_3,Control y formación en consumo,3,COMT0311,Control y formación en consumo,COMT0311 Control y formación en consumo
Comercio y Marketing,COM314_3,Gestión comercial de ventas,3,COMT0411,Gestión comercial de ventas,COMT0411 Gestión comercial de ventas
Comercio y Marketing,COM315_3,Gestión y control del aprovisionamiento,3,COML0210,Gestión y control del aprovisionamiento,COML0210 Gestión y control del aprovisionamiento
Comercio y Marketing,COM316_3,Marketing y compraventa internacional,3,COMM0110,Marketing y compraventa internacional,COMM0110 Marketing y compraventa internacional
Comercio y Marketing,COM317_3,Organización del transporte y la distribución,3,COML0209,Organización del transporte y la distribución,COML0209 Organización del transporte y la distribución
Comercio y Marketing,COM318_3,Organización y gestión de almacenes,3,COML0309,Organización y gestión de almacenes,COML0309 Organización y gestión de almacenes
Comercio y Marketing,COM411_1,Actividades auxiliares de almacén,1,COML0110,Actividades auxiliares de almacén,COML0110 Actividades auxiliares de almacén
Comercio y Marketing,COM412_1,Actividades auxiliares de comercio,1,COMT0211,Actividades auxiliares de comercio,COMT0211 Actividades auxiliares de comercio
Comercio y Marketing,COM623_3,Tráfico de viajeros por carretera,3,COML0111,Tráfico de viajeros por carretera,COML0111 Tráfico de viajeros por carretera
Comercio y Marketing,COM631_2,Actividades de gestión del pequeño comercio,2,COMT0112,Actividades de gestión del pequeño comercio,COMT0112 Actividades de gestión del pequeño comercio
Comercio y Marketing,COM650_3,Gestión comercial inmobiliaria,3,COMT0111,Gestión comercial inmobiliaria,COMT0111 Gestión comercial inmobiliaria
Comercio y Marketing,COM651_3,Gestión comercial y financiera del transporte por carretera,3,COML0211,Gestión comercial y financiera del transporte por carretera,COML0211 Gestión comercial y financiera del transporte por carretera
Comercio y Marketing,COM652_3,Gestión de marketing y comunicación,3,COMM0112,Gestión de marketing y comunicación,COMM0112 Gestión de marketing y comunicación
Edificación y Obra Civil,EOC052_2,Fábricas de albañilería,2,EOCB0108,Fábricas de albañilería,EOCB0108 Fábricas de albañilería
Edificación y Obra Civil,EOC201_3,Representación de proyectos de edificación,3,EOCO0108,Representación de proyectos de edificación,EOCO0108 Representación de proyectos de edificación
Edificación y Obra Civil,EOC202_3,Representación de proyectos de obra civil,3,EOCO0208,Representación de proyectos de obra civil,EOCO0208 Representación de proyectos de obra civil
Edificación y Obra Civil,EOC271_1,Operaciones auxiliares de albañilería de fábricas y cubiertas,1,EOCB0208,Operaciones auxiliares de albañilería de fábricas y cubiertas,EOCB0208 Operaciones auxiliares de albañilería de fábricas y cubiertas
Edificación y Obra Civil,EOC272_1,Operaciones auxiliares de revestimientos continuos en construcción ,1,EOCB0109,Operaciones auxiliares de revestimientos continuos en construcción,EOCB0109 Operaciones auxiliares de revestimientos continuos en construcción
Edificación y Obra Civil,EOC273_3,Control de proyectos y obras de construcción,3,EOCO0109,Control de proyectos y obras de construcción,EOCO0109 Control de proyectos y obras de construcción
Edificación y Obra Civil,EOC274_3,Levantamientos y replanteos,3,EOCE0109,Levantamientos y replanteos,EOCE0109 Levantamientos y replanteos
Edificación y Obra Civil,EOC409_1,Operaciones auxiliares de acabados rígidos y urbanización,1,EOCB0209,Operaciones auxiliares de acabados rígidos y urbanización,EOCB0209 Operaciones auxiliares de acabados rígidos y urbanización
Edificación y Obra Civil,EOC578_1,Operaciones básicas de revestimientos ligeros y técnicos en construcción ,1,EOCJ0311,Operaciones básicas de revestimientos ligeros y técnicos en construcción,EOCJ0311 Operaciones básicas de revestimientos ligeros y técnicos en construcción
Edificación y Obra Civil,EOC580_2,Cubiertas inclinadas,2,EOCB0111,Cubiertas inclinadas,EOCB0111 Cubiertas inclinadas
Edificación y Obra Civil,EOC581_2,Encofrados,2,EOCE0211,Encofrados,EOCE0211 Encofrados
Edificación y Obra Civil,EOC582_2,Impermeabilización mediante membranas formadas con láminas,2,EOCJ0111,Impermeabilización mediante membranas formadas con láminas,EOCJ0111 Impermeabilización mediante membranas formadas con láminas
Edificación y Obra Civil,EOC583_2,Instalación de placa de yeso laminado y falsos techos,2,EOCJ0110,Instalación de placa de yeso laminado y falsos techos,EOCJ0110 Instalación de placa de yeso laminado y falsos techos
Edificación y Obra Civil,EOC584_2,"Instalación de sistemas técnicos de pavimentos, empanelados y mamparas ",2,EOCJ0211,"Instalación de sistemas técnicos de pavimentos, empanelados y mamparas","EOCJ0211 Instalación de sistemas técnicos de pavimentos, empanelados y mamparas"
Edificación y Obra Civil,EOC586_2,Pavimentos y albañilería de urbanización,2,EOCB0211,Pavimentos y albañilería de urbanización,EOCB0211 Pavimentos y albañilería de urbanización
Edificación y Obra Civil,EOC587_2,Pintura decorativa en construcción,2,EOCB0110,Pintura decorativa en construcción,EOCB0110 Pintura decorativa en construcción
Edificación y Obra Civil,EOC588_2,Pintura industrial en construcción,2,EOCB0311,Pintura industrial en construcción,EOCB0311 Pintura industrial en construcción
