Familia profesional,Código QP,Cualificación Profesional,Nivel,Código Certificado,Certificado Profesional,Código y certificado
Edificación y Obra Civil,EOC589_2,Revestimientos con pastas y morteros en construcción,2,EOCB0210,Revestimientos con pastas y morteros en construcción,EOCB0210 Revestimientos con pastas y morteros en construcción
Edificación y Obra Civil,EOC590_2,Revestimientos con piezas rígidas por adherencia en construcción ,2,EOCB0310,Revestimientos con piezas rígidas por adherencia en construcción,EOCB0310 Revestimientos con piezas rígidas por adherencia en construcción
Edificación y Obra Civil,EOC641_3,Control de ejecución de obras civiles,3,EOCO0212,Control de ejecución de obras civiles,EOCO0212 Control de ejecución de obras civiles
Edificación y Obra Civil,EOC642_3,Control de ejecución de obras de edificación,3,EOCO0112,Control de ejecución de obras de edificación,EOCO0112 Control de ejecución de obras de edificación
Electricidad y Electrónica,ELE043_2,Montaje y mantenimiento de infraestructuras de telecomunicaciones en edificios ,2,ELES0108,Montaje y mantenimiento de infraestructuras de telecomunicaciones en edificios,ELES0108 Montaje y mantenimiento de infraestructuras de telecomunicaciones en edificios
Electricidad y Electrónica,ELE188_2,"Montaje y mantenimiento de instalaciones de megafonía, sonorización de locales y circuito cerrado de televisión ",2,ELES0109,"Montaje y mantenimiento de instalaciones de megafonía, sonorización de locales y circuito cerrado de televisión","ELES0109 Montaje y mantenimiento de instalaciones de megafonía, sonorización de locales y circuito cerrado de televisión"
Electricidad y Electrónica,ELE189_2,Montaje y mantenimiento de sistemas de telefonía e infraestructuras de redes locales de datos ,2,ELES0209,Montaje y mantenimiento de sistemas de telefonía e infraestructuras de redes locales de datos,ELES0209 Montaje y mantenimiento de sistemas de telefonía e infraestructuras de redes locales de datos
Electricidad y Electrónica,ELE255_1,Operaciones auxiliares de montaje de instalaciones electrotécnicas y de telecomunicaciones en edificios ,1,ELES0208,Operaciones auxiliares de montaje de instalaciones electrotécnicas y de telecomunicaciones en edificios,ELES0208 Operaciones auxiliares de montaje de instalaciones electrotécnicas y de telecomunicaciones en edificios
Electricidad y Electrónica,ELE256_1,Operaciones auxiliares de montaje de redes eléctricas e instalaciones de alumbrado exterior,1,ELEE0108,Operaciones auxiliares de montaje de redes eléctricas,ELEE0108 Operaciones auxiliares de montaje de redes eléctricas
Electricidad y Electrónica,ELE257_2,Montaje y mantenimiento de instalaciones eléctricas de baja tensión ,2,ELEE0109,Montaje y mantenimiento de instalaciones eléctricas de baja tensión,ELEE0109 Montaje y mantenimiento de instalaciones eléctricas de baja tensión
Electricidad y Electrónica,ELE258_3,Desarrollo de proyectos de infraestructuras de telecomunicaciones y otras redes de voz y datos en edificaciones,3,ELES0110,Desarrollo de proyectos de infraestructuras de telecomunicación y de redes de voz y datos en edificios,ELES0110 Desarrollo de proyectos de infraestructuras de telecomunicación y de redes de voz y datos en edificios
Electricidad y Electrónica,ELE259_3,Desarrollo de proyectos de instalaciones eléctricas en el entorno de edificios y con fines especiales ,3,ELEE0110,Desarrollo de proyectos de instalaciones eléctricas en el entorno de edificios y con fines especiales,ELEE0110 Desarrollo de proyectos de instalaciones eléctricas en el entorno de edificios y con fines especiales
Electricidad y Electrónica,ELE260_3,Desarrollo de proyectos de redes eléctricas de baja y alta tensión ,3,ELEE0210,Desarrollo de proyectos de redes eléctricas de baja y alta tensión ,ELEE0210 Desarrollo de proyectos de redes eléctricas de baja y alta tensión 
Electricidad y Electrónica,ELE381_3,Gestión y supervisión de la instalación y mantenimiento de sistemas de electromedicina,3,ELEQ0208,Gestión y supervisión de la instalación y mantenimiento de sistemas de electromedicina,ELEQ0208 Gestión y supervisión de la instalación y mantenimiento de sistemas de electromedicina
Electricidad y Electrónica,ELE382_3,Gestión y supervisión del montaje y mantenimiento de instalaciones eléctricas en el entorno de edificios ,3,ELEE0310,Gestión y supervisión del montaje y mantenimiento de instalaciones eléctricas en el entorno de edificios,ELEE0310 Gestión y supervisión del montaje y mantenimiento de instalaciones eléctricas en el entorno de edificios
Electricidad y Electrónica,ELE383_3,Gestión y supervisión del montaje y mantenimiento de las infraestructuras de telecomunicación y de redes de voz y datos en el entorno de edificios ,3,ELES0210,Gestión y supervisión del montaje y mantenimiento de las infraestructuras de telecomunicación y de redes de voz y datos en el entorno de edificios,ELES0210 Gestión y supervisión del montaje y mantenimiento de las infraestructuras de telecomunicación y de redes de voz y datos en el entorno de edificios
Electricidad y Electrónica,ELE385_3,Gestión y supervisión del montaje y mantenimiento de redes eléctricas de baja tensión y alumbrado exterior ,3,ELEE0610,Gestión y supervisión del montaje y mantenimiento de  redes eléctricas de baja tensión y alumbrado exterior,ELEE0610 Gestión y supervisión del montaje y mantenimiento de  redes eléctricas de baja tensión y alumbrado exterior
Electricidad y Electrónica,ELE481_1,Operaciones auxiliares de montaje y mantenimiento de equipos eléctricos y electrónicos ,1,ELEQ0111,Operaciones auxiliares de montaje y mantenimiento de equipos eléctricos y electrónicos,ELEQ0111 Operaciones auxiliares de montaje y mantenimiento de equipos eléctricos y electrónicos
Electricidad y Electrónica,ELE484_3,Desarrollo de proyectos de sistemas de automatización industrial ,3,ELEM0110,Desarrollo de proyectos de sistemas de automatización industrial,ELEM0110 Desarrollo de proyectos de sistemas de automatización industrial
Electricidad y Electrónica,ELE485_3,Gestión y supervisión del montaje y mantenimiento de equipamiento de red y estaciones base de telefonía ,3,ELES0411,Gestión y supervisión del montaje y mantenimiento de equipamiento de red y estaciones base de telefonía,ELES0411 Gestión y supervisión del montaje y mantenimiento de equipamiento de red y estaciones base de telefonía
Electricidad y Electrónica,ELE486_3,Gestión y supervisión del montaje y mantenimiento de sistemas de automatización industrial ,3,ELEM0210,Gestión y supervisión del montaje y mantenimiento de sistemas de automatización industrial,ELEM0210 Gestión y supervisión del montaje y mantenimiento de sistemas de automatización industrial
Electricidad y Electrónica,ELE487_3,Gestión y supervisión del montaje y mantenimiento de  sistemas de producción audiovisual y de radiodifusión,3,ELES0311,Gestión y supervisión del montaje y mantenimiento de  sistemas de producción audiovisual y de radiodifusión,ELES0311 Gestión y supervisión del montaje y mantenimiento de  sistemas de producción audiovisual y de radiodifusión
Electricidad y Electrónica,ELE552_3,Mantenimiento de equipos electrónicos,3,ELEQ0311,Mantenimiento de equipos electrónicos,ELEQ0311 Mantenimiento de equipos electrónicos
Electricidad y Electrónica,ELE599_2,Montaje y mantenimiento de sistemas de automatización industrial ,2,ELEM0311,Montaje y mantenimiento de sistemas de automatización industrial,ELEM0311 Montaje y mantenimiento de sistemas de automatización industrial
Energía y Agua,ENA190_2,Montaje y mantenimiento de instalaciones solares térmicas,2,ENAE0208,Montaje y mantenimiento de instalaciones solares térmicas,ENAE0208 Montaje y mantenimiento de instalaciones solares térmicas
Energía y Agua,ENA191_2,Montaje y mantenimiento de redes de agua,2,ENAT0108,Montaje y mantenimiento de redes de agua,ENAT0108 Montaje y mantenimiento de redes de agua
Energía y Agua,ENA193_3,Gestión del montaje y mantenimiento de parques eólicos,3,ENAE0408,Gestión del montaje y mantenimiento de parques eólicos,ENAE0408 Gestión del montaje y mantenimiento de parques eólicos
Energía y Agua,ENA261_2,Montaje y mantenimiento de instalaciones solares fotovoltaicas ,2,ENAE0108,Montaje y mantenimiento de instalaciones solares fotovoltaicas,ENAE0108 Montaje y mantenimiento de instalaciones solares fotovoltaicas
Energía y Agua,ENA262_3,Organización y control del montaje y mantenimiento de redes e instalaciones de agua y saneamiento,3,ENAA0109,Organización y control del montaje y mantenimiento de redes e instalaciones de agua y saneamiento,ENAA0109 Organización y control del montaje y mantenimiento de redes e instalaciones de agua y saneamiento
Energía y Agua,ENA263_3,Organización y proyectos de instalaciones solares fotovoltaicas ,3,ENAE0508,Organización y proyectos de instalaciones solares fotovoltaicas,ENAE0508 Organización y proyectos de instalaciones solares fotovoltaicas
Energía y Agua,ENA264_3,Organización y proyectos de instalaciones solares térmicas,3,ENAE0308,Organización y proyectos de instalaciones solares térmicas,ENAE0308 Organización y proyectos de instalaciones solares térmicas
Energía y Agua,ENA358_3,Eficiencia energética de edificios,3,ENAC0108,Eficiencia energética de edificios,ENAC0108 Eficiencia energética de edificios
Energía y Agua,ENA472_2,"Montaje, puesta en servicio, mantenimiento e inspección de instalaciones receptoras y aparatos de gas ",2,ENAS0110,"Montaje, puesta en servicio, mantenimiento, inspección y revisión de instalaciones receptoras y aparatos de gas","ENAS0110 Montaje, puesta en servicio, mantenimiento, inspección y revisión de instalaciones receptoras y aparatos de gas"
Energía y Agua,ENA620_1,Operaciones auxiliares en el montaje y mantenimiento de instalaciones de energías renovables,1,ENAE0111,Operaciones básicas en el montaje y mantenimiento de instalaciones de energías renovables,ENAE0111 Operaciones básicas en el montaje y mantenimiento de instalaciones de energías renovables
Energía y Agua,ENA656_3,Gestión del uso eficiente del agua,3,ENAA0112,Gestión del uso eficiente del agua,ENAA0112 Gestión del uso eficiente del agua
Fabricación Mecánica,FME031_1,Operaciones auxiliares de fabricación mecánica,1,FMEE0108,Operaciones auxiliares de fabricación mecánica,FMEE0108 Operaciones auxiliares de fabricación mecánica
Fabricación Mecánica,FME032_2,Mecanizado por arranque de viruta,2,FMEH0109,Mecanizado por arranque de viruta,FMEH0109 Mecanizado por arranque de viruta
Fabricación Mecánica,FME033_2,"Mecanizado por abrasión, electroerosión y procedimientos especiales ",2,FMEH0409,"Mecanizado por abrasión, electroerosión y procedimientos especiales","FMEH0409 Mecanizado por abrasión, electroerosión y procedimientos especiales"
