Familia profesional,Código QP,Cualificación profesional,Código y cualificación,Nivel
Artes Gráficas,ARG514_3,Gestión de la producción en procesos de impresión,ARG514_3 Gestión de la producción en procesos de impresión,3
Artes Gráficas,ARG515_3,Gestión de la producción en procesos de preimpresión,ARG515_3 Gestión de la producción en procesos de preimpresión,3
Artes Gráficas,ARG516_3,"Gestión de la producción en transformados de papel, cartón y otros soportes gráficos","ARG516_3 Gestión de la producción en transformados de papel, cartón y otros soportes gráficos",3
Comercio y Marketing,COM411_1,Actividades auxiliares de almacén,COM411_1 Actividades auxiliares de almacén,1
Comercio y Marketing,COM412_1,Actividades auxiliares de comercio,COM412_1 Actividades auxiliares de comercio,1
Comercio y Marketing,COM085_2,Actividades de venta,COM085_2 Actividades de venta,2
Comercio y Marketing,COM631_2,Actividades de gestión del pequeño comercio,COM631_2 Actividades de gestión del pequeño comercio,2
Comercio y Marketing,COM086_3,Gestión administrativa y financiera del comercio internacional,COM086_3 Gestión administrativa y financiera del comercio internacional,3
Comercio y Marketing,COM087_3,"Atención al cliente, consumidor o usuario","COM087_3 Atención al cliente, consumidor o usuario",3
Comercio y Marketing,COM088_3,Tráfico de mercancías por carretera,COM088_3 Tráfico de mercancías por carretera,3
Comercio y Marketing,COM158_3,Implantación y animación de espacios comerciales,COM158_3 Implantación y animación de espacios comerciales,3
Comercio y Marketing,COM312_3,Asistencia a la investigación de mercados,COM312_3 Asistencia a la investigación de mercados,3
Comercio y Marketing,COM313_3,Control y formación en consumo,COM313_3 Control y formación en consumo,3
Comercio y Marketing,COM314_3,Gestión comercial de ventas,COM314_3 Gestión comercial de ventas,3
Comercio y Marketing,COM315_3,Gestión y control del aprovisionamiento,COM315_3 Gestión y control del aprovisionamiento,3
Comercio y Marketing,COM316_3,Marketing y compraventa internacional,COM316_3 Marketing y compraventa internacional,3
Comercio y Marketing,COM317_3,Organización del transporte y la distribución,COM317_3 Organización del transporte y la distribución,3
Comercio y Marketing,COM318_3,Organización y gestión de almacenes,COM318_3 Organización y gestión de almacenes,3
Comercio y Marketing,COM623_3,Tráfico de viajeros por carretera,COM623_3 Tráfico de viajeros por carretera,3
Comercio y Marketing,COM650_3,Gestión comercial inmobiliaria,COM650_3 Gestión comercial inmobiliaria,3
Comercio y Marketing,COM651_3,Gestión comercial y financiera del transporte por carretera,COM651_3 Gestión comercial y financiera del transporte por carretera,3
Comercio y Marketing,COM652_3,Gestión de marketing y comunicación,COM652_3 Gestión de marketing y comunicación,3
Comercio y Marketing,COM707_3,Dinamización de redes sociales y estrategia de contenidos digitales,COM707_3 Dinamización de redes sociales y estrategia de contenidos digitales,3
Edificación y Obra Civil,EOC271_1,Operaciones auxiliares de albañilería de fábricas y cubiertas,EOC271_1 Operaciones auxiliares de albañilería de fábricas y cubiertas,1
Edificación y Obra Civil,EOC272_1,Operaciones auxiliares de revestimientos continuos en construcción,EOC272_1 Operaciones auxiliares de revestimientos continuos en construcción,1
Edificación y Obra Civil,EOC409_1,Operaciones auxiliares de acabados rígidos y urbanización,EOC409_1 Operaciones auxiliares de acabados rígidos y urbanización,1
Edificación y Obra Civil,EOC578_1,Operaciones básicas de revestimientos ligeros y técnicos en construcción,EOC578_1 Operaciones básicas de revestimientos ligeros y técnicos en construcción,1
Edificación y Obra Civil,EOC052_2,Fábricas de albañilería,EOC052_2 Fábricas de albañilería,2
Edificación y Obra Civil,EOC580_2,Cubiertas inclinadas,EOC580_2 Cubiertas inclinadas,2
Edificación y Obra Civil,EOC581_2,Encofrados,EOC581_2 Encofrados,2
Edificación y Obra Civil,EOC582_2,Impermeabilización mediante membranas formadas con láminas,EOC582_2 Impermeabilización mediante membranas formadas con láminas,2
Edificación y Obra Civil,EOC583_2,Instalación de placa de yeso laminado y falsos techos,EOC583_2 Instalación de placa de yeso laminado y falsos techos,2
Edificación y Obra Civil,EOC584_2,"Instalación de sistemas técnicos de pavimentos, empanelados y mamparas","EOC584_2 Instalación de sistemas técnicos de pavimentos, empanelados y mamparas",2
Edificación y Obra Civil,EOC586_2,Pavimentos y albañilería de urbanización,EOC586_2 Pavimentos y albañilería de urbanización,2
Edificación y Obra Civil,EOC587_2,Pintura decorativa en construcción,EOC587_2 Pintura decorativa en construcción,2
Edificación y Obra Civil,EOC588_2,Pintura industrial en construcción,EOC588_2 Pintura industrial en construcción,2
Edificación y Obra Civil,EOC589_2,Revestimientos con pastas y morteros en construcción,EOC589_2 Revestimientos con pastas y morteros en construcción,2
Edificación y Obra Civil,EOC590_2,Revestimientos con piezas rígidas por adherencia en construcción,EOC590_2 Revestimientos con piezas rígidas por adherencia en construcción,2
Edificación y Obra Civil,EOC201_3,Representación de proyectos de edificación,EOC201_3 Representación de proyectos de edificación,3
Edificación y Obra Civil,EOC202_3,Representación de proyectos de obra civil,EOC202_3 Representación de proyectos de obra civil,3
Edificación y Obra Civil,EOC273_3,Control de proyectos y obras de construcción,EOC273_3 Control de proyectos y obras de construcción,3
Edificación y Obra Civil,EOC274_3,Levantamientos y replanteos,EOC274_3 Levantamientos y replanteos,3
Edificación y Obra Civil,EOC641_3,Control de ejecución de obras civiles,EOC641_3 Control de ejecución de obras civiles,3
Edificación y Obra Civil,EOC642_3,Control de ejecución de obras de edificación,EOC642_3 Control de ejecución de obras de edificación,3
Electricidad y Electrónica,ELE255_1,Operaciones auxiliares de montaje de instalaciones electrotécnicas y de telecomunicaciones en edificios,ELE255_1 Operaciones auxiliares de montaje de instalaciones electrotécnicas y de telecomunicaciones en edificios,1
Electricidad y Electrónica,ELE256_1,Operaciones auxiliares de montaje de redes eléctricas e instalaciones de alumbrado exterior,ELE256_1 Operaciones auxiliares de montaje de redes eléctricas e instalaciones de alumbrado exterior,1
Electricidad y Electrónica,ELE481_1,Operaciones auxiliares de montaje y mantenimiento de equipos eléctricos y electrónicos,ELE481_1 Operaciones auxiliares de montaje y mantenimiento de equipos eléctricos y electrónicos,1
Electricidad y Electrónica,ELE043_2,Montaje y mantenimiento de infraestructuras de telecomunicaciones en edificios,ELE043_2 Montaje y mantenimiento de infraestructuras de telecomunicaciones en edificios,2
